arm,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,w_ic,w_bc,gnorm_r,gnorm_ic,gnorm_bc
sym_w=0.1,1,250,5.275610e-03,4.114542e-04,3.504401e-02,1.359755e-02,1.248703e-01,1.000000e-01,1.000000e-01,1.956473e-02,3.107782e-01,3.316700e-01
sym_w=0.1,1,500,1.184219e-03,1.929604e-04,8.385970e-03,1.526618e-03,5.531097e-02,1.000000e-01,1.000000e-01,6.308628e-02,1.895919e-01,3.187906e-01
sym_w=0.1,1,750,7.673415e-04,7.126144e-05,5.807519e-03,1.153281e-03,4.643801e-02,1.000000e-01,1.000000e-01,7.622761e-03,3.342541e-01,3.395215e-01
sym_w=0.1,1,1000,6.297209e-04,7.161168e-05,4.731426e-03,8.496658e-04,4.143352e-02,1.000000e-01,1.000000e-01,7.448039e-03,3.297064e-01,3.365129e-01
sym_w=0.1,1,1250,5.316439e-04,6.921505e-05,4.015273e-03,6.090159e-04,3.728143e-02,1.000000e-01,1.000000e-01,6.861408e-03,3.010955e-01,3.062014e-01
sym_w=0.1,1,1500,4.576507e-04,6.644236e-05,3.471760e-03,4.403236e-04,3.376503e-02,1.000000e-01,1.000000e-01,6.254469e-03,2.699223e-01,2.736952e-01
sym_w=0.1,1,1750,3.966802e-04,6.208485e-05,3.023486e-03,3.224680e-04,3.068047e-02,1.000000e-01,1.000000e-01,5.607093e-03,2.410091e-01,2.446907e-01
sym_w=0.1,1,2000,5.537962e-04,2.005040e-04,3.313383e-03,2.195396e-04,3.338087e-02,1.000000e-01,1.000000e-01,9.044385e-02,3.088023e-01,1.245194e-01
sym_w=0.1,1,2250,3.410206e-04,8.634842e-05,2.308580e-03,2.381417e-04,2.805210e-02,1.000000e-01,1.000000e-01,3.927192e-02,1.464481e-01,2.281955e-01
sym_w=0.1,1,2500,2.576194e-04,4.931247e-05,1.966259e-03,1.168093e-04,2.315819e-02,1.000000e-01,1.000000e-01,2.400529e-02,1.947569e-01,1.525836e-01
sym_w=0.1,1,2750,2.216303e-04,3.741360e-05,1.728701e-03,1.134664e-04,2.106805e-02,1.000000e-01,1.000000e-01,4.846993e-03,1.589510e-01,1.548569e-01
sym_w=0.1,1,3000,1.803366e-04,3.147130e-05,1.386132e-03,1.025213e-04,1.828580e-02,1.000000e-01,1.000000e-01,2.674489e-03,1.305510e-01,1.350455e-01
sym_w=0.1,2,0,1.309695e-01,5.608844e-02,7.359090e-01,1.290135e-02,1.175573e+00,1.000000e-01,1.000000e-01,1.755568e+00,4.826723e+00,4.108712e-01
sym_w=0.1,2,250,4.124310e-03,5.715186e-04,2.762953e-02,7.898389e-03,1.070820e-01,1.000000e-01,1.000000e-01,1.392414e-02,2.082905e-01,1.997115e-01
sym_w=0.1,2,500,1.130018e-03,2.129526e-04,7.938365e-03,1.232292e-03,5.024940e-02,1.000000e-01,1.000000e-01,6.075165e-02,2.867318e-01,3.482444e-01
sym_w=0.1,2,750,1.133295e-03,4.091695e-04,6.332051e-03,9.092034e-04,6.500921e-02,1.000000e-01,1.000000e-01,1.760063e-01,5.177272e-01,3.102959e-01
sym_w=0.1,2,1000,6.670240e-04,9.726875e-05,4.913702e-03,7.838508e-04,3.828778e-02,1.000000e-01,1.000000e-01,2.053199e-02,3.265493e-01,3.372076e-01
sym_w=0.1,2,1250,5.676112e-04,8.280571e-05,4.259636e-03,5.884189e-04,3.531289e-02,1.000000e-01,1.000000e-01,5.287546e-03,3.114301e-01,3.121970e-01
sym_w=0.1,2,1500,5.093827e-04,7.329160e-05,3.851808e-03,5.091038e-04,3.326073e-02,1.000000e-01,1.000000e-01,5.166234e-03,2.965169e-01,2.983098e-01
sym_w=0.1,2,1750,4.974359e-04,8.354282e-05,3.861812e-03,2.771184e-04,3.307169e-02,1.000000e-01,1.000000e-01,3.842877e-02,3.559248e-01,2.082392e-01
sym_w=0.1,2,2000,3.846899e-04,5.516855e-05,2.942011e-03,3.532029e-04,2.810365e-02,1.000000e-01,1.000000e-01,5.081695e-03,2.562965e-01,2.667519e-01
sym_w=0.1,2,2250,3.409294e-04,5.034978e-05,2.614776e-03,2.910203e-04,2.598129e-02,1.000000e-01,1.000000e-01,4.167369e-03,2.374156e-01,2.473088e-01
sym_w=0.1,2,2500,4.109351e-04,9.895724e-05,3.073654e-03,4.612410e-05,2.991165e-02,1.000000e-01,1.000000e-01,6.938352e-02,3.860802e-01,2.318782e-02
sym_w=0.1,2,2750,2.467133e-04,4.079050e-05,1.916959e-03,1.422682e-04,2.122975e-02,1.000000e-01,1.000000e-01,6.291614e-03,2.056216e-01,1.778266e-01
sym_w=0.1,2,3000,2.199806e-04,3.742979e-05,1.681059e-03,1.444485e-04,1.932077e-02,1.000000e-01,1.000000e-01,2.917374e-03,1.692547e-01,1.782169e-01
sym_w=1,0,0,6.276552e-01,8.854827e-02,5.196859e-01,1.942101e-02,7.133166e-01,1.000000e+00,1.000000e+00,2.125204e+00,4.032662e+00,6.365021e-01
