d,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
4,0,500,1.560698e-02,9.077348e-04,9.222222e-03,5.477022e-03,3.717353e-01,1.683723e-03,38.2806
4,0,750,9.153170e-03,1.045290e-03,4.730895e-03,3.376985e-03,2.821291e-01,1.171323e-03,57.6254
4,0,1000,4.833964e-03,9.367152e-04,2.188124e-03,1.709125e-03,1.954631e-01,8.117505e-04,77.3187
4,0,1250,3.798759e-03,8.991284e-04,1.544044e-03,1.355586e-03,1.944575e-01,6.662055e-04,101.3740
4,0,1500,2.183978e-03,6.048629e-04,8.755412e-04,7.035741e-04,1.333262e-01,5.531154e-04,126.6759
4,0,1750,1.699341e-03,4.897873e-04,6.701292e-04,5.394246e-04,1.179793e-01,4.753802e-04,151.4237
4,0,2000,1.910174e-03,5.307666e-04,7.645254e-04,6.148821e-04,1.294958e-01,4.102725e-04,173.6708
4,0,2250,1.221393e-03,3.751083e-04,4.768933e-04,3.693911e-04,9.547613e-02,3.600239e-04,193.4338
4,0,2500,9.888313e-04,2.852525e-04,3.732863e-04,3.302925e-04,8.663063e-02,3.208721e-04,211.2630
4,0,2750,7.443706e-04,2.450405e-04,2.682508e-04,2.310794e-04,7.662887e-02,2.727978e-04,229.8535
4,0,3000,6.498810e-04,2.185497e-04,2.298362e-04,2.014951e-04,7.106669e-02,2.517334e-04,250.2095
4,0,3250,5.663052e-04,1.929741e-04,2.018739e-04,1.714573e-04,6.646351e-02,2.375125e-04,270.3045
4,0,3500,4.896677e-04,1.711676e-04,1.675046e-04,1.509956e-04,6.087801e-02,2.171716e-04,288.3646
4,0,3750,4.256749e-04,1.486255e-04,1.455834e-04,1.314660e-04,5.716170e-02,2.061170e-04,307.8082
4,0,4000,3.598147e-04,1.300482e-04,1.212131e-04,1.085534e-04,5.248302e-02,1.917986e-04,326.4199
4,0,4250,3.156925e-04,1.161165e-04,1.048572e-04,9.471882e-05,4.907954e-02,1.815374e-04,344.4182
4,0,4500,2.849136e-04,1.064092e-04,9.394651e-05,8.455791e-05,4.696640e-02,1.757586e-04,363.2097
4,0,4750,2.695196e-04,9.841169e-05,8.890914e-05,8.219873e-05,4.684999e-02,1.628617e-04,382.8689
4,0,5000,2.311264e-04,9.033222e-05,7.373571e-05,6.705843e-05,4.182926e-02,1.577108e-04,400.6946
4,1,0,2.258217e-01,3.707026e-04,1.075816e-01,1.178694e-01,2.245503e+00,3.550117e-03,0.0817
4,1,250,4.490355e-02,1.119308e-03,3.663592e-02,7.148322e-03,6.669391e-01,3.023488e-03,18.8930
4,1,500,1.803612e-02,8.584506e-04,1.151716e-02,5.660504e-03,3.523191e-01,1.493513e-03,39.4913
4,1,750,1.001992e-02,1.539866e-03,5.621665e-03,2.858391e-03,2.599305e-01,1.006652e-03,58.0955
4,1,1000,6.328818e-03,1.426781e-03,3.031049e-03,1.870988e-03,2.072676e-01,7.415652e-04,76.7211
4,1,1250,3.832412e-03,1.083748e-03,1.567984e-03,1.180680e-03,1.541513e-01,5.020039e-04,95.3747
4,1,1500,2.185847e-03,8.131225e-04,7.317907e-04,6.409333e-04,1.107549e-01,3.652604e-04,113.3289
4,1,1750,1.526014e-03,6.418795e-04,4.589217e-04,4.252129e-04,8.984783e-02,3.113887e-04,131.3219
4,1,2000,1.189839e-03,5.230328e-04,3.444661e-04,3.223402e-04,7.939800e-02,2.867401e-04,150.9851
4,1,2250,8.971087e-04,4.032301e-04,2.553663e-04,2.385123e-04,7.073061e-02,2.668848e-04,169.6527
4,1,2500,7.497661e-04,3.376329e-04,2.124912e-04,1.996420e-04,6.606583e-02,2.588879e-04,187.7163
4,1,2750,6.300070e-04,2.825397e-04,1.803917e-04,1.670757e-04,6.210413e-02,2.469272e-04,207.6414
4,1,3000,5.407214e-04,2.381298e-04,1.580796e-04,1.445120e-04,5.870331e-02,2.381320e-04,226.5376
4,1,3250,1.579809e-03,3.072461e-04,6.094626e-04,6.631002e-04,8.176378e-02,2.089118e-04,243.4565
4,1,3500,3.835349e-04,1.663925e-04,1.138601e-04,1.032823e-04,5.158033e-02,2.129734e-04,262.1430
4,1,3750,3.419014e-04,1.476459e-04,1.020957e-04,9.215985e-05,4.943455e-02,2.087306e-04,284.5743
4,1,4000,3.022412e-04,1.310372e-04,9.020248e-05,8.100148e-05,4.703045e-02,1.992431e-04,302.2695
4,1,4250,2.726563e-04,1.186731e-04,8.119177e-05,7.279140e-05,4.511851e-02,1.953540e-04,320.5349
