d,seed,step,loss,loss_r,loss_tc,loss_bc,rel_sd,stderr_sd,rel_rms,train_seconds
2,1,1500,1.752151e-03,1.517402e-03,1.455828e-04,8.916568e-05,2.459488e-02,4.909724e-05,1.358665e-02,68.5358
2,1,1750,1.340192e-03,1.135788e-03,1.368714e-04,6.753290e-05,2.249291e-02,4.841888e-05,1.242548e-02,76.5404
2,1,2000,1.133839e-03,9.587482e-04,1.215969e-04,5.349435e-05,2.172351e-02,5.075487e-05,1.200045e-02,84.4591
2,1,2250,9.321577e-04,7.858306e-04,1.029421e-04,4.338497e-05,2.096916e-02,5.247723e-05,1.158374e-02,92.9530
2,1,2500,7.918128e-04,6.712491e-04,8.669802e-05,3.386561e-05,2.089805e-02,5.545885e-05,1.154445e-02,102.8259
2,1,2750,6.858924e-04,5.779783e-04,7.819142e-05,2.972264e-05,2.055704e-02,5.636342e-05,1.135607e-02,111.6294
2,1,3000,1.794474e-03,1.258605e-03,1.768517e-04,3.590178e-04,4.286805e-02,9.271348e-05,2.368107e-02,121.4309
2,1,3250,1.040624e-03,8.779219e-04,6.812130e-05,9.458056e-05,1.754836e-02,3.539931e-05,9.694025e-03,129.9939
2,1,3500,3.595775e-03,2.792476e-03,2.343707e-04,5.689277e-04,5.548143e-02,8.986510e-05,3.064892e-02,138.6788
2,1,3750,9.339447e-03,6.872973e-03,4.326773e-04,2.033797e-03,6.366424e-02,1.474177e-04,3.516925e-02,151.1743
2,1,4000,4.529236e-04,3.888267e-04,4.291467e-05,2.118218e-05,1.749903e-02,4.552061e-05,9.666775e-03,160.4944
2,1,4250,4.205721e-04,3.631747e-04,3.718514e-05,2.021217e-05,1.602435e-02,4.130656e-05,8.852134e-03,170.2706
2,1,4500,4.258095e-03,9.228872e-04,2.169644e-03,1.165565e-03,9.972968e-02,9.127689e-05,5.509244e-02,181.8081
2,1,4750,1.320085e-02,9.402988e-03,7.327960e-04,3.065068e-03,1.156244e-01,2.483415e-04,6.387294e-02,196.9034
2,1,5000,9.043894e-04,5.832609e-04,2.345499e-04,8.657869e-05,2.516743e-02,3.853845e-05,1.390293e-02,208.4266
2,2,0,6.673131e+00,4.908612e+00,1.031959e-01,1.661324e+00,2.051757e+00,3.391342e-03,1.133427e+00,0.0405
2,2,250,4.583639e-01,2.427966e-01,6.053206e-02,1.550352e-01,1.107356e+00,1.853714e-03,6.117233e-01,10.6172
