d,target,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
4,1e-02,0,18500,2.526800e-05,1.429726e-05,5.282532e-06,5.688209e-06,2.003695e-02,1.150255e-04,1390.2514
4,1e-02,0,18750,2.720757e-05,1.405825e-05,6.267647e-06,6.881675e-06,2.133043e-02,1.075230e-04,1416.6099
4,1e-02,0,19000,7.181386e-05,1.771726e-05,2.476049e-05,2.933612e-05,2.921259e-02,1.021394e-04,1440.3633
4,1e-02,0,19250,2.526466e-05,1.357710e-05,5.107936e-06,6.579622e-06,1.978855e-02,1.165885e-04,1461.3742
4,1e-02,0,19500,1.275293e-04,1.627410e-05,6.048139e-05,5.077381e-05,4.430181e-02,6.310045e-05,1485.8015
4,1e-02,0,19750,2.593980e-05,1.340064e-05,5.678726e-06,6.860435e-06,2.054085e-02,1.104564e-04,1506.6509
4,1e-02,0,20000,6.137705e-05,1.413363e-05,2.188736e-05,2.535607e-05,2.635487e-02,1.027580e-04,1530.6154
8,1e-01,0,0,3.223253e-01,3.158382e-02,9.632053e-02,1.944210e-01,7.869438e+00,8.348275e-03,0.1199
8,1e-01,0,250,2.721465e-03,3.202086e-05,2.523550e-03,1.658941e-04,9.368430e-01,9.541376e-03,17.3297
8,1e-01,0,500,2.649235e-03,3.516595e-05,2.453853e-03,1.602159e-04,9.265867e-01,9.529507e-03,34.6651
8,1e-01,0,750,2.557385e-03,3.487744e-05,2.362099e-03,1.604082e-04,9.116994e-01,9.503382e-03,52.2191
8,1e-01,0,1000,2.407886e-03,3.178406e-05,2.207255e-03,1.688474e-04,8.856491e-01,9.445533e-03,70.0519
8,1e-01,0,1250,2.202035e-03,2.769314e-05,1.970755e-03,2.035871e-04,8.447760e-01,9.317582e-03,89.6532
8,1e-01,0,1500,2.074209e-03,2.793398e-05,1.815032e-03,2.312426e-04,8.202072e-01,9.187139e-03,105.7195
8,1e-01,0,1750,1.876223e-03,2.396825e-05,1.599118e-03,2.531367e-04,7.828742e-01,9.032645e-03,121.7778
8,1e-01,0,2000,1.756483e-03,2.359483e-05,1.456856e-03,2.760320e-04,7.578932e-01,8.786690e-03,137.3801
8,1e-01,0,2250,1.644825e-03,2.314363e-05,1.302182e-03,3.194991e-04,7.401172e-01,8.496337e-03,152.9934
8,1e-01,0,2500,1.564840e-03,2.403891e-05,1.224548e-03,3.162526e-04,7.366221e-01,8.342229e-03,168.5687
8,1e-01,0,2750,1.447119e-03,2.611287e-05,1.099961e-03,3.210453e-04,7.256514e-01,8.055925e-03,184.1403
8,1e-01,0,3000,1.333577e-03,2.799108e-05,1.001483e-03,3.041024e-04,7.216207e-01,7.831554e-03,199.7778
8,1e-01,0,3250,2.312005e-03,4.392028e-05,1.295314e-03,9.727704e-04,7.781824e-01,7.395068e-03,215.7574
8,1e-01,0,3500,1.033612e-03,4.016757e-05,7.218989e-04,2.715458e-04,7.131451e-01,7.051162e-03,231.8941
8,1e-01,0,3750,9.018448e-04,5.044385e-05,6.102821e-04,2.411188e-04,7.132097e-01,6.730154e-03,247.6777
8,1e-01,0,4000,7.624358e-04,5.794066e-05,4.969694e-04,2.075258e-04,7.147217e-01,6.381541e-03,263.4647
8,1e-01,0,4250,6.618038e-04,6.397341e-05,4.266035e-04,1.712269e-04,7.170658e-01,6.174004e-03,279.2237
8,1e-01,0,4500,6.600661e-04,7.445022e-05,4.114185e-04,1.741974e-04,7.524197e-01,5.847428e-03,295.1068
8,1e-01,0,4750,4.510119e-04,7.312391e-05,2.633966e-04,1.144915e-04,7.267895e-01,5.678857e-03,310.9092
8,1e-01,0,5000,3.850057e-04,7.617687e-05,2.150986e-04,9.373026e-05,7.308419e-01,5.543978e-03,326.7932
8,1e-01,0,5250,5.527498e-04,7.594744e-05,2.718690e-04,2.049334e-04,7.464199e-01,5.348959e-03,342.6654
8,1e-01,0,5500,2.771416e-04,7.476020e-05,1.377112e-04,6.467026e-05,7.379693e-01,5.348416e-03,358.6479
8,1e-01,0,5750,1.073589e-03,7.443273e-05,7.397138e-04,2.594421e-04,7.713202e-01,6.673224e-03,374.5778
8,1e-01,0,6000,5.841387e-04,6.920821e-05,3.667475e-04,1.481830e-04,7.299410e-01,6.109768e-03,390.5571
8,1e-01,0,6250,1.945924e-03,8.225878e-05,1.003289e-03,8.603765e-04,8.273055e-01,5.635655e-03,406.6066
8,1e-01,0,6500,3.297958e-04,7.704552e-05,1.723188e-04,8.043142e-05,7.149993e-01,5.581758e-03,422.5835
8,1e-01,0,6750,2.753312e-04,7.663278e-05,1.343322e-04,6.436621e-05,7.143452e-01,5.454818e-03,438.7370
8,1e-01,0,7000,2.377670e-04,7.515398e-05,1.102667e-04,5.234636e-05,7.150524e-01,5.370968e-03,454.8003
8,1e-01,0,7250,2.024957e-04,7.052138e-05,8.828368e-05,4.369064e-05,7.144514e-01,5.278882e-03,470.8854
8,1e-01,0,7500,2.148313e-04,6.797024e-05,8.903297e-05,5.782806e-05,7.236181e-01,5.153331e-03,486.9080
8,1e-01,0,7750,1.549376e-04,6.422349e-05,6.043195e-05,3.028221e-05,7.139857e-01,5.176455e-03,503.1483
8,1e-01,0,8000,1.351312e-04,6.134427e-05,4.902399e-05,2.476290e-05,7.140437e-01,5.142829e-03,519.5764
8,1e-01,0,8250,3.464546e-04,5.985051e-05,1.483564e-04,1.382477e-04,7.386323e-01,4.939343e-03,535.7803
8,1e-01,0,8500,1.239942e-04,5.788554e-05,4.106562e-05,2.504303e-05,7.143762e-01,5.130051e-03,552.5426
8,1e-01,0,8750,1.025153e-04,4.964867e-05,3.368673e-05,1.917989e-05,7.131246e-01,5.081093e-03,568.4414
8,1e-01,0,9000,2.601173e-04,4.734451e-05,9.915773e-05,1.136151e-04,7.443777e-01,5.104422e-03,584.3730
8,1e-01,0,9250,3.999682e-04,4.644123e-05,1.929432e-04,1.605838e-04,7.180835e-01,4.733756e-03,600.4090
8,1e-01,0,9500,9.716765e-05,4.057794e-05,2.842635e-05,2.816336e-05,7.182340e-01,5.069081e-03,616.4685
8,1e-01,0,9750,5.703627e-05,3.777085e-05,1.187216e-05,7.393260e-06,7.065266e-01,4.955713e-03,632.6252
8,1e-01,0,10000,5.058569e-05,3.452858e-05,9.595661e-06,6.461447e-06,7.051768e-01,4.937309e-03,648.7501
4,1e-02,1,0,2.258217e-01,3.707026e-04,1.075816e-01,1.178694e-01,2.245503e+00,3.550117e-03,0.0367
4,1e-02,1,250,4.490355e-02,1.119308e-03,3.663592e-02,7.148322e-03,6.669391e-01,3.023488e-03,9.2876
4,1e-02,1,500,1.803612e-02,8.584506e-04,1.151716e-02,5.660504e-03,3.523191e-01,1.493513e-03,18.5623
4,1e-02,1,750,1.001992e-02,1.539866e-03,5.621665e-03,2.858391e-03,2.599305e-01,1.006652e-03,27.7822
4,1e-02,1,1000,6.328818e-03,1.426781e-03,3.031049e-03,1.870988e-03,2.072676e-01,7.415652e-04,37.2275
4,1e-02,1,1250,3.832412e-03,1.083748e-03,1.567984e-03,1.180680e-03,1.541513e-01,5.020039e-04,46.5184
4,1e-02,1,1500,2.185847e-03,8.131225e-04,7.317907e-04,6.409333e-04,1.107549e-01,3.652604e-04,55.8563
4,1e-02,1,1750,1.526014e-03,6.418795e-04,4.589217e-04,4.252129e-04,8.984783e-02,3.113887e-04,65.1150
4,1e-02,1,2000,1.189839e-03,5.230328e-04,3.444661e-04,3.223402e-04,7.939800e-02,2.867401e-04,74.4714
4,1e-02,1,2250,8.971087e-04,4.032301e-04,2.553663e-04,2.385123e-04,7.073061e-02,2.668848e-04,83.8646
4,1e-02,1,2500,7.497661e-04,3.376329e-04,2.124912e-04,1.996420e-04,6.606583e-02,2.588879e-04,93.1967
4,1e-02,1,2750,6.300070e-04,2.825397e-04,1.803917e-04,1.670757e-04,6.210413e-02,2.469272e-04,102.5412
4,1e-02,1,3000,5.407214e-04,2.381298e-04,1.580796e-04,1.445120e-04,5.870331e-02,2.381320e-04,111.8988
4,1e-02,1,3250,1.579809e-03,3.072461e-04,6.094626e-04,6.631002e-04,8.176378e-02,2.089118e-04,121.1972
