model,k,step,loss,rel_l2
fourier,16,1400,7.042084e-04,3.130604e-02
fourier,16,1600,5.420988e-04,2.907556e-02
fourier,16,1800,4.898684e-03,3.110760e-02
fourier,16,2000,4.402787e-04,2.729886e-02
fourier,16,2200,3.003291e-04,2.490040e-02
fourier,16,2400,2.588968e-04,2.401247e-02
fourier,16,2600,2.231753e-04,2.319471e-02
fourier,16,2800,1.957155e-04,2.244102e-02
fourier,16,3000,6.501130e-04,2.470993e-02
fourier,16,3200,5.747721e-03,2.690442e-02
fourier,16,3400,8.753650e-03,2.934990e-02
fourier,16,3600,1.270255e-04,1.998817e-02
fourier,16,3800,1.299707e-04,1.996860e-02
fourier,16,4000,5.692242e-04,2.039994e-02
fourier,16,4200,3.797710e-04,1.984903e-02
fourier,16,4400,1.036455e-04,1.854366e-02
fourier,16,4600,1.013295e-04,1.947290e-02
fourier,16,4800,2.177193e-04,1.849172e-02
fourier,16,5000,4.644987e-03,3.026084e-02
fourier,16,5200,1.812664e-03,2.111436e-02
fourier,16,5400,1.169981e-04,1.663974e-02
fourier,16,5600,7.500414e-05,1.648557e-02
fourier,16,5800,6.636004e-05,1.630678e-02
fourier,16,6000,2.965857e-04,1.661801e-02
fourier,16,6200,1.147647e-04,1.583799e-02
fourier,16,6400,5.769667e-05,1.548462e-02
fourier,16,6600,9.026570e-05,1.506893e-02
fourier,16,6800,6.118805e-05,1.498874e-02
fourier,16,7000,8.096371e-04,1.735632e-02
fourier,16,7200,6.791959e-05,1.448558e-02
fourier,16,7400,1.496070e-04,1.518649e-02
fourier,16,7600,1.301840e-04,1.492753e-02
fourier,16,7800,1.094611e-03,1.552865e-02
fourier,16,8000,9.953389e-04,1.830277e-02
plain,32,0,7.285554e-01,1.017883e+00
plain,32,200,5.119362e-01,1.000987e+00
plain,32,400,5.114644e-01,1.001496e+00
plain,32,600,5.106316e-01,1.002080e+00
plain,32,800,5.099013e-01,1.003353e+00
plain,32,1000,5.097468e-01,1.003908e+00
plain,32,1200,5.098215e-01,1.003904e+00
plain,32,1400,5.095862e-01,1.004311e+00
plain,32,1600,5.095299e-01,1.004442e+00
plain,32,1800,5.094346e-01,1.004648e+00
plain,32,2000,5.093489e-01,1.004767e+00
plain,32,2200,5.092416e-01,1.004639e+00
plain,32,2400,5.081314e-01,1.004737e+00
plain,32,2600,5.032088e-01,1.012195e+00
plain,32,2800,4.967604e-01,1.020588e+00
plain,32,3000,4.849860e-01,1.008387e+00
plain,32,3200,4.813111e-01,9.976460e-01
plain,32,3400,4.738740e-01,9.973175e-01
plain,32,3600,4.673629e-01,9.912317e-01
plain,32,3800,4.549774e-01,9.784578e-01
plain,32,4000,4.359284e-01,9.587756e-01
plain,32,4200,3.902765e-01,9.042710e-01
plain,32,4400,3.564487e-01,8.563829e-01
plain,32,4600,3.385145e-01,8.268989e-01
plain,32,4800,3.326930e-01,8.210345e-01
plain,32,5000,3.227437e-01,8.112209e-01
plain,32,5200,2.967914e-01,7.785787e-01
plain,32,5400,2.825587e-01,7.628638e-01
plain,32,5600,2.751661e-01,7.564580e-01
plain,32,5800,2.673691e-01,7.521706e-01
plain,32,6000,2.574593e-01,7.445245e-01
plain,32,6200,2.403654e-01,7.187336e-01
plain,32,6400,2.234061e-01,6.933622e-01
plain,32,6600,2.034089e-01,6.686175e-01
plain,32,6800,1.773549e-01,6.383795e-01
plain,32,7000,1.640633e-01,6.224439e-01
plain,32,7200,1.579542e-01,6.127542e-01
plain,32,7400,1.503277e-01,5.966169e-01
plain,32,7600,1.359955e-01,5.630045e-01
plain,32,7800,1.199963e-01,5.237688e-01
plain,32,8000,1.156547e-01,5.144608e-01
plain_3x,32,0,7.285554e-01,1.017883e+00
plain_3x,32,200,5.119362e-01,1.000987e+00
plain_3x,32,400,5.114644e-01,1.001496e+00
plain_3x,32,600,5.106316e-01,1.002080e+00
plain_3x,32,800,5.099013e-01,1.003353e+00
plain_3x,32,1000,5.097468e-01,1.003908e+00
plain_3x,32,1200,5.098215e-01,1.003904e+00
plain_3x,32,1400,5.095862e-01,1.004311e+00
plain_3x,32,1600,5.095299e-01,1.004442e+00
plain_3x,32,1800,5.094346e-01,1.004648e+00
plain_3x,32,2000,5.093489e-01,1.004767e+00
plain_3x,32,2200,5.092416e-01,1.004639e+00
plain_3x,32,2400,5.081314e-01,1.004737e+00
plain_3x,32,2600,5.032088e-01,1.012195e+00
plain_3x,32,2800,4.967604e-01,1.020588e+00
plain_3x,32,3000,4.849860e-01,1.008387e+00
plain_3x,32,3200,4.813111e-01,9.976460e-01
plain_3x,32,3400,4.738740e-01,9.973175e-01
plain_3x,32,3600,4.673629e-01,9.912317e-01
plain_3x,32,3800,4.549774e-01,9.784578e-01
plain_3x,32,4000,4.359284e-01,9.587756e-01
plain_3x,32,4200,3.902765e-01,9.042710e-01
plain_3x,32,4400,3.564487e-01,8.563829e-01
plain_3x,32,4600,3.385145e-01,8.268989e-01
plain_3x,32,4800,3.326930e-01,8.210345e-01
plain_3x,32,5000,3.227437e-01,8.112209e-01
plain_3x,32,5200,2.967914e-01,7.785787e-01
plain_3x,32,5400,2.825587e-01,7.628638e-01
plain_3x,32,5600,2.751661e-01,7.564580e-01
plain_3x,32,5800,2.673691e-01,7.521706e-01
plain_3x,32,6000,2.574593e-01,7.445245e-01
plain_3x,32,6200,2.403654e-01,7.187336e-01
plain_3x,32,6400,2.234061e-01,6.933622e-01
plain_3x,32,6600,2.034089e-01,6.686175e-01
plain_3x,32,6800,1.773549e-01,6.383795e-01
plain_3x,32,7000,1.640633e-01,6.224439e-01
plain_3x,32,7200,1.579542e-01,6.127542e-01
plain_3x,32,7400,1.503277e-01,5.966169e-01
plain_3x,32,7600,1.359955e-01,5.630045e-01
plain_3x,32,7800,1.199963e-01,5.237688e-01
plain_3x,32,8000,1.156547e-01,5.144608e-01
plain_3x,32,8200,1.460852e-01,5.094317e-01
plain_3x,32,8400,1.118276e-01,5.067482e-01
plain_3x,32,8600,1.114869e-01,5.058683e-01
plain_3x,32,8800,1.160142e-01,5.074822e-01
plain_3x,32,9000,1.109040e-01,5.040881e-01
plain_3x,32,9200,1.106517e-01,5.032418e-01
plain_3x,32,9400,1.103825e-01,5.024245e-01
plain_3x,32,9600,1.118711e-01,5.017321e-01
plain_3x,32,9800,1.094825e-01,4.989266e-01
plain_3x,32,10000,1.084677e-01,4.954449e-01
plain_3x,32,10200,1.066925e-01,4.891719e-01
plain_3x,32,10400,1.043773e-01,4.818285e-01
plain_3x,32,10600,1.485524e-01,5.074076e-01
plain_3x,32,10800,9.932192e-02,4.693490e-01
plain_3x,32,11000,9.748795e-02,4.656252e-01
plain_3x,32,11200,9.470313e-02,4.605944e-01
plain_3x,32,11400,9.208504e-02,4.598273e-01
plain_3x,32,11600,8.818439e-02,4.463358e-01
plain_3x,32,11800,8.504302e-02,4.375512e-01
plain_3x,32,12000,8.244347e-02,4.292503e-01
plain_3x,32,12200,8.045691e-02,4.230051e-01
plain_3x,32,12400,7.870734e-02,4.181376e-01
plain_3x,32,12600,7.746317e-02,4.149350e-01
plain_3x,32,12800,7.669874e-02,4.131625e-01
plain_3x,32,13000,7.559084e-02,4.102359e-01
plain_3x,32,13200,7.511725e-02,4.078029e-01
plain_3x,32,13400,7.479434e-02,4.094892e-01
plain_3x,32,13600,7.406461e-02,4.047716e-01
plain_3x,32,13800,7.284606e-02,4.041497e-01
plain_3x,32,14000,7.212903e-02,4.027547e-01
plain_3x,32,14200,7.226718e-02,4.185904e-01
plain_3x,32,14400,7.025342e-02,3.992824e-01
