ic,cfl,nx,nt,dx,dt,rel_l2,seconds,energy_ratio,energy_drift
pluck,1.0,201,400,0.005,0.005,7.70855754415723e-16,0.0029307089280337095,0.9940476190476184,2.0639777312408672e-15
pluck,1.0,401,800,0.0025,0.0025,8.673851657399389e-16,0.0065945840906351805,0.9970238095238089,2.993187787178072e-15
pluck,1.0,801,1600,0.00125,0.00125,1.837134185696125e-15,0.016398417064920068,0.9985119047619037,6.911431188910622e-15
pluck,0.9,26,56,0.04,0.03571428571428571,0.016875308847338528,0.0004311671946197748,0.9334001457725949,9.991291997423135e-16
pluck,0.9,51,112,0.02,0.017857142857142856,0.010337740831559122,0.0006894997786730528,0.9810191933916418,2.851893256423245e-15
pluck,0.9,101,223,0.01,0.008968609865470852,0.004823431265261148,0.0013705419842153788,0.9904242901286865,3.766415464483246e-15
pluck,0.9,201,445,0.005,0.0044943820224719105,0.0023006172113572807,0.003120417008176446,0.9951906024371632,2.6238637578807355e-15
pluck,0.9,401,889,0.0025,0.0022497187851518562,0.0011148979851929625,0.007160124834626913,0.9975898882798747,1.907074437450519e-14
pluck,0.9,801,1778,0.00125,0.0011248593925759281,0.0005474907533301897,0.020856250077486038,0.9987949441399376,3.772198566355637e-14
pluck,0.5,26,100,0.04,0.02,0.03313165083164006,0.000697124982252717,0.9464285714285713,1.3795254247115909e-15
pluck,0.5,51,200,0.02,0.01,0.01816886211068954,0.0012140830513089895,0.9940476190476185,2.2516120704445822e-15
pluck,0.5,101,400,0.01,0.005,0.008856974989275816,0.0025002078618854284,0.9970238095238075,5.425152864260262e-15
pluck,0.5,201,800,0.005,0.0025,0.004350441665272735,0.005611958913505077,0.9985119047619048,1.0086953627058734e-14
pluck,0.5,401,1600,0.0025,0.00125,0.0021497924641443364,0.013596124947071075,0.9992559523809561,1.1572693659659025e-14
pluck,0.5,801,3200,0.00125,0.000625,0.0010666633280430441,0.035021958872675896,0.9996279761904837,5.056504526590231e-14
pluck,0.25,26,200,0.04,0.01,0.036153182671022514,0.00315258395858109,0.9508928571428573,7.257543548918656e-15
pluck,0.25,51,400,0.02,0.005,0.019901033643550156,0.0024444591253995895,0.9985119047619043,8.779385564291864e-15
pluck,0.25,101,800,0.01,0.0025,0.009758165724320363,0.005176750011742115,0.9992559523809501,2.1092167476475445e-14
pluck,0.25,201,1600,0.005,0.00125,0.0048172967200161496,0.011553332908079028,0.999627976190476,2.0897730884801114e-14
pluck,0.25,401,3200,0.0025,0.000625,0.002388496391506476,0.02813183283433318,0.999813988095243,2.3692125470788904e-14
pluck,0.25,801,6400,0.00125,0.0003125,0.0011877500915929739,0.07023654202930629,0.9999069940476273,7.741194904891223e-14
