ic,seed,step,loss,loss_r,loss_ic,loss_vel,loss_bc,rel_l2,energy_ratio,train_seconds
pluck,0,3500,1.056538e-02,4.917410e-03,7.307170e-04,2.598078e-03,2.319176e-03,1.945755e-01,0.746158,176.4063
pluck,0,3750,3.697726e-03,1.432220e-03,6.650824e-04,3.748353e-04,1.225589e-03,1.560991e-01,0.751535,188.7320
pluck,0,4000,7.195969e-03,3.363027e-03,6.442823e-04,1.128268e-03,2.060393e-03,2.060731e-01,0.736878,201.0773
pluck,0,4250,1.667561e-03,1.069845e-04,5.931638e-04,3.906716e-05,9.283454e-04,1.412438e-01,0.757711,213.3910
pluck,0,4500,4.811639e-03,3.111971e-03,6.491398e-04,1.663826e-04,8.841465e-04,1.407556e-01,0.751827,225.7064
pluck,0,4750,1.403591e-03,9.661631e-05,5.531891e-04,3.160883e-05,7.221767e-04,1.328928e-01,0.767502,238.1883
pluck,0,5000,3.766587e-03,1.483564e-03,5.454466e-04,5.678223e-04,1.169754e-03,1.538950e-01,0.760508,250.5486
pluck,1,0,4.268176e-01,2.516581e-03,3.531238e-01,2.970519e-02,4.147207e-02,1.634198e+00,0.035647,0.0599
pluck,1,250,3.419077e-02,5.592314e-03,1.139286e-02,1.577711e-03,1.562789e-02,7.435067e-01,0.266945,12.4371
pluck,1,500,1.912224e-02,5.879066e-04,3.362533e-03,2.423020e-04,1.492950e-02,6.388126e-01,0.428168,24.7401
pluck,1,750,1.928003e-02,8.239601e-04,3.094418e-03,6.344265e-04,1.472723e-02,6.304128e-01,0.428688,37.3012
pluck,1,1000,1.787361e-02,5.459011e-04,2.460854e-03,1.993472e-04,1.466751e-02,6.134713e-01,0.450540,49.6934
pluck,1,1250,1.692533e-02,3.107190e-04,2.316727e-03,7.554527e-05,1.422234e-02,6.046308e-01,0.451079,62.1106
pluck,1,1500,1.591666e-02,2.745104e-04,2.166173e-03,2.526665e-05,1.345071e-02,5.854998e-01,0.456366,74.5720
pluck,1,1750,1.540808e-02,1.045941e-03,2.023324e-03,4.161732e-04,1.192264e-02,5.602684e-01,0.478227,87.0060
pluck,1,2000,1.386529e-02,2.703993e-03,2.235902e-03,2.233115e-04,8.702087e-03,5.103740e-01,0.471173,99.3676
pluck,1,2250,7.520788e-03,4.087132e-04,1.238100e-03,8.234629e-05,5.791629e-03,3.887328e-01,0.552942,111.8983
pluck,1,2500,7.457951e-03,1.261400e-03,1.535690e-03,2.837035e-04,4.377157e-03,3.635778e-01,0.565776,124.6879
pluck,1,2750,4.949865e-03,8.485510e-04,1.071637e-03,1.545579e-04,2.875119e-03,2.834536e-01,0.614396,137.8215
pluck,1,3000,9.723963e-03,6.004134e-04,8.671879e-04,4.509385e-03,3.746977e-03,2.353321e-01,0.639052,145.9017
pluck,1,3250,3.797653e-03,6.029982e-04,1.510396e-03,2.297134e-04,1.454545e-03,2.198426e-01,0.667468,152.7211
pluck,1,3500,4.263569e-03,1.866652e-03,8.480275e-04,9.482208e-05,1.454067e-03,2.014602e-01,0.687271,159.5240
pluck,1,3750,2.395890e-03,1.032217e-04,7.697616e-04,2.355168e-04,1.287390e-03,1.713442e-01,0.713026,166.0237
pluck,1,4000,2.021963e-03,1.260363e-04,7.278580e-04,4.680513e-05,1.121264e-03,1.637528e-01,0.730433,172.5118
pluck,1,4250,2.262896e-03,9.312020e-05,7.081637e-04,2.601647e-04,1.201448e-03,1.638252e-01,0.734744,179.0153
pluck,1,4500,1.904442e-03,1.209769e-04,7.747263e-04,5.231726e-05,9.564212e-04,1.588127e-01,0.714519,185.5041
