model,step,k,coeff
plain,6500,2,0.627655
plain,6500,4,0.816597
plain,6500,8,0.910974
plain,6500,16,0.949670
plain,6500,32,0.907443
plain,6600,1,1.887092
plain,6600,2,0.643035
plain,6600,4,0.821948
plain,6600,8,0.912963
plain,6600,16,0.949997
plain,6600,32,0.910409
plain,6700,1,1.868302
plain,6700,2,0.642072
plain,6700,4,0.823832
plain,6700,8,0.913872
plain,6700,16,0.950777
plain,6700,32,0.911484
plain,6800,1,1.844797
plain,6800,2,0.657407
plain,6800,4,0.828446
plain,6800,8,0.916122
plain,6800,16,0.951613
plain,6800,32,0.913500
plain,6900,1,1.817367
plain,6900,2,0.662727
plain,6900,4,0.831953
plain,6900,8,0.918215
plain,6900,16,0.953370
plain,6900,32,0.914785
plain,7000,1,1.780468
plain,7000,2,0.685193
plain,7000,4,0.841616
plain,7000,8,0.921232
plain,7000,16,0.953098
plain,7000,32,0.914938
plain,7100,1,1.743707
plain,7100,2,0.688001
plain,7100,4,0.844943
plain,7100,8,0.925233
plain,7100,16,0.958026
plain,7100,32,0.917778
plain,7200,1,1.690428
plain,7200,2,0.707036
plain,7200,4,0.853247
plain,7200,8,0.929745
plain,7200,16,0.960805
plain,7200,32,0.919182
plain,7300,1,1.649362
plain,7300,2,0.723337
plain,7300,4,0.864306
plain,7300,8,0.935506
plain,7300,16,0.964831
plain,7300,32,0.921329
plain,7400,1,1.581685
plain,7400,2,0.748538
plain,7400,4,0.875204
plain,7400,8,0.941465
plain,7400,16,0.968311
plain,7400,32,0.923482
plain,7500,1,1.529653
plain,7500,2,0.764331
plain,7500,4,0.884839
plain,7500,8,0.947347
plain,7500,16,0.972787
plain,7500,32,0.925793
plain,7600,1,1.377924
plain,7600,2,0.802852
plain,7600,4,0.906148
plain,7600,8,0.956952
plain,7600,16,0.976256
plain,7600,32,0.926692
plain,7700,1,1.384139
plain,7700,2,0.821041
plain,7700,4,0.912945
plain,7700,8,0.961087
plain,7700,16,0.979915
plain,7700,32,0.931044
plain,7800,1,1.331757
plain,7800,2,0.858465
plain,7800,4,0.925163
plain,7800,8,0.966222
plain,7800,16,0.981086
plain,7800,32,0.933420
plain,7900,1,1.304935
plain,7900,2,0.854453
plain,7900,4,0.929353
plain,7900,8,0.969862
plain,7900,16,0.985489
plain,7900,32,0.935504
plain,8000,1,1.177662
plain,8000,2,0.894001
plain,8000,4,0.948580
plain,8000,8,0.978935
plain,8000,16,0.989229
plain,8000,32,0.937492
plain,8100,1,1.181532
plain,8100,2,0.896156
plain,8100,4,0.949413
plain,8100,8,0.979900
plain,8100,16,0.990981
plain,8100,32,0.939861
plain,8200,1,1.196924
plain,8200,2,0.892029
plain,8200,4,0.947561
plain,8200,8,0.979188
plain,8200,16,0.991589
plain,8200,32,0.940825
plain,8300,1,1.020464
plain,8300,2,0.929752
plain,8300,4,0.972901
plain,8300,8,0.992593
plain,8300,16,0.999381
plain,8300,32,0.942815
plain,8400,1,1.102659
plain,8400,2,0.922585
plain,8400,4,0.959963
plain,8400,8,0.985193
plain,8400,16,0.995289
plain,8400,32,0.943806
plain,8500,1,1.046288
plain,8500,2,0.935317
plain,8500,4,0.972609
plain,8500,8,0.991791
plain,8500,16,1.000623
plain,8500,32,0.945978
plain,8600,1,0.952815
plain,8600,2,0.969945
plain,8600,4,0.983654
plain,8600,8,0.997443
plain,8600,16,1.003171
plain,8600,32,0.947739
plain,8700,1,0.916514
plain,8700,2,0.974025
plain,8700,4,0.986819
plain,8700,8,0.999227
plain,8700,16,1.005227
plain,8700,32,0.947767
plain,8800,1,1.016450
plain,8800,2,0.952624
plain,8800,4,0.977022
plain,8800,8,0.993064
plain,8800,16,1.003496
plain,8800,32,0.948928
